City,State,Population,Percentage Sunny Days,Average Temperature (F),Median Home Price Sold v1,Median Home Price Sold v2 ($),Median Price SqFeet Listed ($),Index Cost Of Living,Crimes Per 100k,Umemployment Rate,Fortune 500 HQed,Business Index,Academic And Economic Opportunities Index,Health Index,Quality Education Index,State Public School Index
"New York City, New York",New York,"3,930,586",58,56,"450,000",605,657,100,1987,5.7,50,38.9,232,56.33,16,54.86
"Los Angeles, California",California,"2,761,625",73,66,"710,000",965,671,77,3333,5,22,47.29,114,55.54,22,43.17
"Chicago, Illinois",Illinois,"2,366,119",54,53,"252,000",330,240,70,4382,5.3,14,46.83,217,54.33,58,53.23
"Houston, Texas",Texas,"1,656,892",59,72,"192,500",340,179,58,5252,4.1,22,50.21,211,45.24,33,49.36
"Phoenix, Arizona",Arizona,"1,627,134",85,76,"308,900",410,284,62,4443,3.4,4,52.03,338,50.71,34,35.11
"Philadelphia, Pennsylvania",Pennsylvania,"1,466,791",56,56,"240,000",270,195,66,4037,5.4,5,43.18,142,50.51,95,54.32
"San Antonio, Texas",Texas,"1,410,791",60,70,"175,000",300,169,56,5566,3.6,4,46.85,358,44.76,28,49.36
"San Diego, California",California,"1,336,347",68,65,"620,000",875,668,83,2221,3.3,0,46.21,70,61.94,3,43.17
"Dallas, Texas",Texas,"1,033,430",61,68,"225,550",430,247,67,3986,3.7,11,54.11,168,44.09,55,49.36
"San Jose, California",California,"1,013,293",70,61,"1,160,000",1300,803,82,2861,2.8,7,41.42,107,55.62,5,43.17
"Austin, Texas",Texas,"987,960",60,70,"340,000",619,351,71,3612,2.7,3,56.86,21,56.49,13,49.36
"Jacksonville, Florida",Florida,"972,228",63,72,"245,000",300,190,56,4169,3.1,4,62.25,237,45.25,57,55.35
"Fort Worth, Texas",Texas,"941,364",63,67,#N/A,400,182,61,3793,3.8,4,58,201,42.04,55,49.36
"Columbus, Ohio",Ohio,"917,527",50,54,"219,000",220,171,58,4502,3.6,6,50.24,164,42.36,112,47.1
"Charlotte, North Carolina",North Carolina,"907,802",62,62,"255,000",397,225,72,3836,3.6,7,58.3,213,48.18,29,49.02
"Indianapolis, Indiana",Indiana,"894,584",55,54,"185,000",180,132,55,5775,3.2,3,51.31,249,41.76,105,53.52
"San Francisco, California",California,"775,523",66,58,"930,000",1300,1000,96,6917,2.5,8,44.79,120,67.07,17,43.17
"Seattle, Washington",Washington,"750,130",47,54,"525,000",792,574,83,5912,2.6,7,47.59,40,65.22,14,47.56
"Denver, Colorado",Colorado,"715,913",69,52,"442,000",520,367,69,4361,3.1,4,55.9,242,58.42,79,52.62
